ダウンロードした時刻：2014/07/22 12:35:39

,さいたま,さいたま,さいたま,さいたま,さいたま,さいたま,さいたま,さいたま,さいたま
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),日照時間(時間),日照時間(時間),日照時間(時間)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2013/7/21,30.3,8,1,20.1,8,1,7.2,8,1
2013/7/22,31.6,8,1,21.0,8,1,7.3,8,1
2013/7/23,34.1,8,1,23.2,8,1,7.2,8,1
2013/7/24,27.3,8,1,23.0,8,1,0.0,8,1
2013/7/25,28.5,8,1,22.1,8,1,1.3,8,1
2013/7/26,32.8,8,1,24.4,8,1,4.1,8,1
2013/7/27,32.7,8,1,21.8,8,1,6.5,8,1
2013/7/28,32.5,8,1,21.0,8,1,9.5,8,1
2013/7/29,26.8,8,1,23.4,8,1,0.0,8,1
2013/7/30,32.4,8,1,24.1,8,1,2.8,8,1
2013/7/31,31.6,8,1,24.5,8,1,1.6,8,1
2013/8/1,31.4,8,1,23.6,8,1,2.8,8,1
2013/8/2,30.4,8,1,22.3,8,1,3.4,8,1
2013/8/3,31.8,8,1,21.5,8,1,5.2,8,1
2013/8/4,31.0,8,1,23.8,8,1,2.7,8,1
2013/8/5,33.0,8,1,25.0,8,1,6.8,8,1
2013/8/6,32.2,8,1,24.3,8,1,0.5,8,1
2013/8/7,34.4,8,1,22.6,8,1,11.6,8,1
2013/8/8,35.1,8,1,23.9,8,1,8.9,8,1
2013/8/9,36.5,8,1,25.4,8,1,10.2,8,1
2013/8/10,37.7,8,1,26.8,8,1,11.1,8,1
2013/8/11,37.5,8,1,27.2,8,1,7.2,8,1
2013/8/12,36.0,8,1,25.5,8,1,9.3,8,1
2013/8/13,34.9,8,1,25.7,8,1,7.3,8,1
2013/8/14,35.1,8,1,24.9,8,1,11.2,8,1
2013/8/15,35.8,8,1,24.2,8,1,9.7,8,1
2013/8/16,35.6,8,1,25.7,8,1,9.9,8,1
2013/8/17,34.1,8,1,24.1,8,1,10.2,8,1
2013/8/18,35.1,8,1,24.2,8,1,11.4,8,1
2013/8/19,37.0,8,1,24.6,8,1,10.6,8,1
2013/8/20,35.1,8,1,25.4,8,1,8.0,8,1
2013/8/21,33.6,8,1,24.9,8,1,2.8,8,1
2013/8/22,33.0,8,1,24.6,8,1,4.3,8,1
2013/8/23,29.1,8,1,23.6,8,1,0.0,8,1
2013/8/24,33.0,8,1,23.6,8,1,1.3,8,1
2013/8/25,25.9,8,1,21.4,8,1,0.0,8,1
2013/8/26,31.2,8,1,20.0,8,1,6.9,8,1
2013/8/27,30.7,8,1,19.8,8,1,10.2,8,1
2013/8/28,32.7,8,1,20.5,8,1,11.5,8,1
2013/8/29,32.7,8,1,22.0,8,1,8.0,8,1
2013/8/30,36.4,8,1,23.2,8,1,8.8,8,1
2013/8/31,35.8,8,1,24.1,8,1,8.9,8,1
2013/9/1,36.4,8,1,23.9,8,1,8.5,8,1
2013/9/2,31.1,8,1,23.9,8,1,1.5,8,1
2013/9/3,34.1,8,1,23.1,8,1,7.6,8,1
2013/9/4,31.0,8,1,24.1,8,1,4.3,8,1
2013/9/5,30.5,8,1,24.5,8,1,2.5,8,1
2013/9/6,27.3,8,1,23.1,8,1,0.1,8,1
2013/9/7,27.1,8,1,21.9,8,1,2.5,8,1
2013/9/8,25.4,8,1,20.3,8,1,0.0,8,1
2013/9/9,28.3,8,1,20.9,8,1,6.7,8,1
2013/9/10,28.4,8,1,20.2,8,1,4.4,8,1
2013/9/11,27.1,8,1,21.2,8,1,1.1,8,1
2013/9/12,31.8,8,1,20.3,8,1,9.8,8,1
2013/9/13,32.1,8,1,22.4,8,1,5.0,8,1
2013/9/14,31.4,8,1,23.7,8,1,4.0,8,1
2013/9/15,28.1,8,1,22.4,8,1,2.8,8,1
2013/9/16,29.6,8,1,19.6,8,1,1.0,8,1
2013/9/17,28.1,8,1,17.5,8,1,11.4,8,1
2013/9/18,28.1,8,1,16.7,8,1,11.6,8,1
2013/9/19,28.1,8,1,15.4,8,1,11.4,8,1
2013/9/20,29.9,8,1,16.1,8,1,11.2,8,1
2013/9/21,30.4,8,1,18.9,8,1,10.7,8,1
2013/9/22,29.8,8,1,19.6,8,1,7.3,8,1
2013/9/23,22.7,8,1,19.5,8,1,0.4,8,1
2013/9/24,26.5,8,1,18.5,8,1,3.5,8,1
2013/9/25,24.3,8,1,21.1,8,1,0.1,8,1
2013/9/26,24.5,8,1,15.4,8,1,0.8,8,1
2013/9/27,23.2,8,1,13.5,8,1,11.4,8,1
2013/9/28,24.7,8,1,11.6,8,1,9.8,8,1
2013/9/29,26.4,8,1,16.8,8,1,7.1,8,1
2013/9/30,25.6,8,1,15.0,8,1,7.0,8,1
2013/10/1,25.3,8,1,18.3,8,1,0.3,8,1
2013/10/2,27.2,8,1,20.5,8,1,1.2,8,1
2013/10/3,27.9,8,1,19.2,8,1,5.2,8,1
2013/10/4,19.4,8,1,16.2,8,1,0.0,8,1
2013/10/5,19.4,8,1,16.1,8,1,0.0,8,1
2013/10/6,25.8,8,1,18.7,8,1,1.7,8,1
2013/10/7,27.9,8,1,20.5,8,1,5.2,8,1
2013/10/8,29.4,8,1,19.2,8,1,8.5,8,1
2013/10/9,28.8,8,1,21.9,8,1,5.7,8,1
2013/10/10,27.5,8,1,19.5,8,1,1.0,8,1
2013/10/11,30.8,8,1,20.5,8,1,7.1,8,1
2013/10/12,30.4,8,1,17.8,8,1,9.2,8,1
2013/10/13,25.6,8,1,13.7,8,1,10.7,8,1
2013/10/14,24.4,8,1,11.4,8,1,8.1,8,1
2013/10/15,18.1,8,1,15.2,8,1,0.0,8,1
2013/10/16,24.5,8,1,15.1,8,1,3.0,8,1
2013/10/17,21.1,8,1,13.6,8,1,7.2,8,1
2013/10/18,20.1,8,1,12.9,8,1,5.9,8,1
2013/10/19,18.5,8,1,13.1,8,1,0.8,8,1
2013/10/20,15.5,8,1,13.5,8,1,0.0,8,1
2013/10/21,21.1,8,1,12.6,8,1,3.1,8,1
2013/10/22,19.6,8,1,16.0,8,1,0.0,5,1
2013/10/23,19.0,8,1,15.1,8,1,0.0,8,1
2013/10/24,17.8,8,1,14.1,8,1,0.0,8,1
2013/10/25,18.7,8,1,14.8,8,1,0.0,8,1
2013/10/26,17.1,8,1,12.3,8,1,1.1,8,1
2013/10/27,19.9,8,1,9.1,8,1,10.2,8,1
2013/10/28,19.6,8,1,7.9,8,1,10.1,8,1
2013/10/29,15.1,8,1,10.1,8,1,0.0,8,1
2013/10/30,22.2,8,1,12.8,8,1,8.3,8,1
2013/10/31,21.2,8,1,8.8,8,1,8.3,8,1
2013/11/1,20.2,8,1,8.1,8,1,8.4,8,1
2013/11/2,17.0,8,1,10.2,8,1,0.2,8,1
2013/11/3,20.1,8,1,11.9,8,1,2.9,8,1
2013/11/4,18.2,8,1,10.7,8,1,0.2,8,1
2013/11/5,19.5,8,1,9.1,8,1,9.8,8,1
2013/11/6,20.4,8,1,6.6,8,1,8.1,8,1
2013/11/7,13.9,8,1,8.5,8,1,0.1,8,1
2013/11/8,21.4,8,1,9.1,8,1,9.6,8,1
2013/11/9,13.5,8,1,7.1,8,1,0.3,8,1
2013/11/10,21.0,8,1,10.7,8,1,1.1,8,1
2013/11/11,16.3,8,1,4.9,8,1,3.8,8,1
2013/11/12,13.2,8,1,3.8,8,1,3.5,8,1
2013/11/13,12.8,8,1,3.4,8,1,8.9,8,1
2013/11/14,13.5,8,1,0.4,8,1,8.5,8,1
2013/11/15,11.1,8,1,6.5,8,1,0.2,8,1
2013/11/16,17.3,8,1,4.2,8,1,9.2,8,1
2013/11/17,17.2,8,1,2.6,8,1,9.4,8,1
2013/11/18,20.2,8,1,3.8,8,1,8.7,8,1
2013/11/19,16.3,8,1,3.3,8,1,9.8,8,1
2013/11/20,16.8,8,1,0.2,8,1,9.8,8,1
2013/11/21,16.2,8,1,1.0,8,1,9.8,8,1
2013/11/22,16.8,8,1,1.1,8,1,9.7,8,1
2013/11/23,15.8,8,1,5.0,8,1,9.7,8,1
2013/11/24,16.5,8,1,1.8,8,1,9.4,8,1
2013/11/25,18.3,8,1,6.0,8,1,0.0,8,1
2013/11/26,18.4,8,1,6.6,8,1,6.5,8,1
2013/11/27,15.9,8,1,6.3,8,1,6.9,8,1
2013/11/28,17.4,8,1,3.7,8,1,5.5,8,1
2013/11/29,13.8,8,1,0.9,8,1,9.4,8,1
2013/11/30,13.8,8,1,0.2,8,1,9.7,8,1
2013/12/1,14.9,8,1,-0.4,8,1,9.4,8,1
2013/12/2,15.0,8,1,0.2,8,1,9.1,8,1
2013/12/3,15.7,8,1,1.1,8,1,9.3,8,1
2013/12/4,13.6,8,1,4.6,8,1,5.8,8,1
2013/12/5,15.7,8,1,1.9,8,1,9.2,8,1
2013/12/6,16.5,8,1,2.0,8,1,7.9,8,1
2013/12/7,13.7,8,1,4.8,8,1,6.9,8,1
2013/12/8,12.4,8,1,2.6,8,1,2.5,8,1
2013/12/9,9.6,8,1,-0.6,8,1,1.2,8,1
2013/12/10,14.2,8,1,1.8,8,1,1.4,8,1
2013/12/11,12.1,8,1,2.8,8,1,4.6,8,1
2013/12/12,12.1,8,1,-0.5,8,1,7.6,8,1
2013/12/13,14.9,8,1,-2.1,8,1,8.8,8,1
2013/12/14,10.6,8,1,-0.9,8,1,9.4,8,1
2013/12/15,10.6,8,1,-2.7,8,1,9.4,8,1
2013/12/16,11.5,8,1,3.9,8,1,8.4,8,1
2013/12/17,12.4,8,1,3.9,8,1,5.3,8,1
2013/12/18,7.4,8,1,2.7,8,1,0.0,8,1
2013/12/19,6.9,8,1,3.1,8,1,0.0,8,1
2013/12/20,7.2,8,1,0.2,8,1,0.0,8,1
2013/12/21,10.5,8,1,-1.4,8,1,7.8,8,1
2013/12/22,10.5,8,1,1.4,8,1,9.5,8,1
2013/12/23,8.3,8,1,-0.3,8,1,3.9,8,1
2013/12/24,11.9,8,1,0.5,8,1,8.4,8,1
2013/12/25,9.4,8,1,-0.4,8,1,9.3,8,1
2013/12/26,7.0,8,1,-0.6,8,1,1.6,8,1
2013/12/27,9.1,8,1,2.6,8,1,0.0,8,1
2013/12/28,8.1,8,1,-1.0,8,1,8.7,8,1
2013/12/29,8.6,8,1,-3.2,8,1,9.5,8,1
2013/12/30,11.0,8,1,-4.8,8,1,9.6,8,1
2013/12/31,12.7,8,1,-3.3,8,1,9.3,8,1
2014/1/1,15.0,8,1,-1.9,8,1,9.3,8,1
2014/1/2,11.0,8,1,-1.3,8,1,9.2,8,1
2014/1/3,8.5,8,1,-0.9,8,1,6.2,8,1
2014/1/4,12.3,8,1,-1.6,8,1,5.9,8,1
2014/1/5,7.7,8,1,2.0,8,1,1.6,8,1
2014/1/6,10.1,8,1,-3.4,8,1,9.1,8,1
2014/1/7,8.5,8,1,-4.0,8,1,7.9,8,1
2014/1/8,10.2,8,1,-2.9,8,1,3.4,8,1
2014/1/9,11.1,8,1,1.7,8,1,4.7,8,1
2014/1/10,5.8,8,1,-2.3,8,1,9.4,8,1
2014/1/11,8.8,8,1,-5.0,8,1,9.4,8,1
2014/1/12,10.0,8,1,-3.6,8,1,9.0,8,1
2014/1/13,7.4,8,1,0.5,8,1,9.3,8,1
2014/1/14,7.5,8,1,-0.6,8,1,8.6,8,1
2014/1/15,4.9,8,1,-3.4,8,1,1.6,8,1
2014/1/16,9.4,8,1,-5.9,8,1,9.7,8,1
2014/1/17,9.7,8,1,-2.1,8,1,8.0,8,1
2014/1/18,8.3,8,1,-0.3,8,1,7.9,8,1
2014/1/19,6.5,8,1,0.2,8,1,9.7,8,1
2014/1/20,7.0,8,1,-3.4,8,1,7.1,8,1
2014/1/21,12.2,8,1,-3.9,8,1,6.1,8,1
2014/1/22,9.0,8,1,-1.4,8,1,8.1,8,1
2014/1/23,10.3,8,1,-2.8,8,1,9.7,8,1
2014/1/24,10.3,8,1,-2.3,8,1,7.9,8,1
